YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
20-21;Brooklyn Nets*;72;241.7;43.1;87.3;49.4;14.2;36.1;39.2;29.0;51.2;56.5;18.1;22.5;80.4;8.9;35.5;44.4;26.8;6.7;5.3;13.5;19.0;118.6;7;28.2;0.666666667;0.333333333;0.638888889;0.361111111;4.50;-0.27;118.3;113.8;99.5;258;413;61;57.5;12.2;21.4;208;53.1;11.1;77.3;187;Barclays Center;30.491;0
12-13;Brooklyn Nets*;82;242.1;35.9;79.8;45;7.7;21.5;35.7;28.2;58.3;48.4;17.5;23.9;73.1;12.8;30.0;42.8;20.3;7.3;4.8;14.7;18.3;96.9;10;28.6;0.597560976;0.402439024;0.56097561;0.43902439;1.78;-0.53;108.2;106.2;88.8;299;269;53.6;49.8;14.0;30.9;219;50.3;13.1;73.7;174;Barclays Center;704.702;0
13-14;Brooklyn Nets*;82;242.4;35.7;77.9;45.9;8.6;23.4;36.9;27.1;54.5;49.7;18.4;24.4;75.3;8.8;29.4;38.1;20.9;8.6;3.8;14.5;21.7;98.5;19;30.0;0.536585366;0.463414634;0.463414634;0.536585366;-1.00;-0.58;106.7;107.7;91.4;313;301;55.5;51.4;14.1;21.7;236;50.9;14.9;72.3;236;Barclays Center;707.331;0
18-19;Brooklyn Nets*;82;243.7;40.3;89.7;44.9;12.8;36.2;35.3;27.5;53.6;51.3;19.0;25.5;74.5;11.0;35.6;46.6;23.8;6.6;4.1;15.1;21.5;112.2;15;25.4;0.512195122;0.487804878;0.5;0.5;-0.07;-0.33;109.6;109.7;100.8;284;403;55.6;52;13.0;23.8;211;51.2;11.6;76.4;190;Barclays Center;612.597;0
19-20;Brooklyn Nets*;72;242.8;40.4;90.3;44.8;13.1;38.1;34.3;27.3;52.1;52.4;17.9;24.1;74.5;10.6;37.3;47.9;24.5;6.4;4.5;15.3;21.0;111.8;15;26.3;0.486111111;0.513888889;0.486111111;0.513888889;-0.57;-0.44;108.9;109.5;101.4;267;423;55.4;52;13.1;23.2;199;51.1;11.0;77.8;187;Barclays Center;524.907;0
14-15;Brooklyn Nets*;82;243.0;37.4;83.0;45.1;6.6;19.9;33.1;30.8;63.1;48.9;16.6;22.2;74.8;10.3;32.0;42.4;20.9;7.0;4.1;13.8;19.3;98.0;22;28.6;0.463414634;0.536585366;0.402439024;0.597560976;-2.88;-0.25;104.4;107.4;92.7;267;240;52.9;49.1;13.0;23.9;200;50.6;12.9;73.7;185;Barclays Center;698.529;0
08-09;Charlotte Bobcats;82;243.0;35.0;76.8;45.5;6.0;16.3;36.6;29.0;60.5;47.9;17.7;24.0;74;10.8;28.9;39.7;21.2;7.1;4.8;15.6;21.4;93.6;20;25.8;0.426829268;0.573170732;0.451219512;0.548780488;-1.27;0.07;104.7;106.1;88.3;312;213;53.6;49.4;15.1;27.7;231;49.8;14.4;73.0;229;Time Warner Cable Arena;597.548;0
10-11;Charlotte Bobcats;82;241.5;35.0;77.6;45.1;4.8;14.7;32.7;30.2;63.0;48;18.4;24.4;75.6;10.3;29.8;40.1;21.1;6.4;5.3;14.5;20.0;93.3;24;26.9;0.414634146;0.585365854;0.353658537;0.646341463;-4.00;-0.08;103.4;107.8;89.6;314;189;52.8;48.2;14.1;25.7;237;50;12.9;75.2;229;Time Warner Cable Arena;649.694;0
06-07;Charlotte Bobcats;82;244.0;36.1;81.0;44.6;5.6;15.6;35.7;30.5;65.4;46.7;19.1;26.0;73.4;11.2;28.6;39.8;22.4;7.8;4.5;14.9;24.2;96.9;26;25.5;0.402439024;0.597560976;0.365853659;0.634146341;-3.74;-0.22;103.6;107.6;92.0;322;193;52.4;48;13.9;26.4;236;50;14.7;71.6;279;Charlotte Bobcats Arena;637.52;0
07-08;Charlotte Bobcats;82;242.4;36.1;79.9;45.2;6.5;17.6;36.7;29.6;62.3;47.6;18.4;25.8;71.4;10.9;29.8;40.6;21.3;7.5;4.9;14.7;21.7;97.1;22;26.3;0.390243902;0.609756098;0.353658537;0.646341463;-4.38;-0.11;104.6;109.4;91.8;323;220;53.2;49.2;13.9;25.6;230;50.5;13.4;71.0;235;Charlotte Bobcats Arena;603.403;0
05-06;Charlotte Bobcats;82;242.7;36.1;83.5;43.3;5.2;15.4;33.9;30.9;68.1;45.4;19.4;26.7;72.9;12.1;27.7;39.8;20.9;10.0;4.3;14.2;23.9;96.9;27;25.2;0.317073171;0.682926829;0.365853659;0.634146341;-4.00;0.10;102.5;106.7;93.4;319;184;50.9;46.4;13.0;27.1;233;51.4;16.5;70.7;263;Charlotte Bobcats Arena;671.011;0
12-13;Charlotte Bobcats;82;241.5;34.4;81.1;42.5;5.7;17.1;33.5;28.7;64.0;44.8;18.9;25.1;75;11.2;29.1;40.3;19.4;7.2;5.8;14.1;19.0;93.4;30;24.4;0.256097561;0.743902439;0.207317073;0.792682927;-9.23;-0.06;101.5;111.5;91.5;310;210;50.7;46;13.2;25.7;233;52.4;13.2;71.1;197;Time Warner Cable Arena;628.293;0
04-05;Charlotte Bobcats;82;242.4;36.1;83.6;43.2;3.9;10.7;36.3;32.2;72.9;44.2;18.1;25.6;70.9;13.2;28.5;41.7;21.9;8.5;5.4;14.5;23.1;94.3;28;24.9;0.219512195;0.780487805;0.292682927;0.707317073;-5.99;-0.16;101.1;107.5;92.3;306;128;49.7;45.5;13.3;29.5;217;49.7;14.7;70.9;269;Charlotte Coliseum;591.701;0
11-12;Charlotte Bobcats;66;240.8;33.2;80.2;41.4;4.0;13.5;29.5;29.2;66.7;43.9;16.5;22.2;74.6;10.3;28.7;39.0;20.1;6.0;5.5;14.5;18.9;87.0;30;24.5;0.106060606;0.893939394;0.106060606;0.893939394;-13.91;-0.05;95.2;110.4;91.1;276;169;48.3;43.9;13.9;23.6;206;51.2;12.8;70.9;206;Time Warner Cable Arena;486.984;0
09-10;Charlotte Bobcats*;82;242.4;34.9;76.9;45.3;5.6;16.2;34.6;29.2;60.7;48.2;20.0;26.6;75.1;10.5;30.4;40.8;20.2;7.7;5.4;15.7;19.5;95.3;15;27.4;0.536585366;0.463414634;0.548780488;0.451219512;1.46;-0.17;104.4;102.8;90.4;346;211;53.8;49;15.1;26.5;260;49.1;14.7;74.2;194;Time Warner Cable Arena;648.52;0
13-14;Charlotte Bobcats*;82;242.7;36.3;82.1;44.2;6.3;17.9;35.1;30.0;64.1;46.8;18.0;24.4;73.7;9.5;33.2;42.7;21.7;6.1;5.1;12.3;18.2;96.9;16;25.5;0.524390244;0.475609756;0.487804878;0.512195122;-0.22;-0.67;103.6;103.8;92.4;297;219;52.2;48.1;11.7;21.9;219;49.1;12.6;77.6;183;Time Warner Cable Arena;636.268;0
21-22;Charlotte Hornets;82;242.4;42.8;91.4;46.8;13.9;38.2;36.5;28.8;53.3;54.2;15.8;21.4;74;10.8;33.7;44.6;28.1;8.6;4.9;13.3;19.9;115.3;16;25.5;0.524390244;0.475609756;0.512195122;0.487804878;0.44;0.09;114.1;113.7;100;234;418;57.2;54.4;11.6;23.3;173;54.4;13.1;74.8;187;Spectrum Center;700,755;0
98-99;Charlotte Hornets;50;243.0;33.4;74.4;44.9;5.4;14.7;36.5;28.1;59.7;47;20.7;27.7;74.7;9.6;29.9;39.5;22.2;8.9;4.9;15.9;22.0;92.9;16;29.0;0.52;0.48;0.5;0.5;-0.10;0.73;102.3;102.4;89.7;372;198;53.7;48.5;15.5;24.4;278;46.1;14.3;69.5;240;Charlotte Coliseum;480.807;0
93-94;Charlotte Hornets;82;241.8;41.2;86.6;47.6;4.1;11.2;36.7;37.1;75.4;49.3;19.9;26.0;76.4;12.4;30.2;42.6;27.0;8.8;4.8;15.4;21.3;106.5;17;27.6;0.5;0.5;0.487804878;0.512195122;-0.22;-0.01;108.4;108.6;97.5;301;129;54.3;50;13.6;29.2;230;49.2;13.2;67.0;205;Charlotte Coliseum;971.609;0
95-96;Charlotte Hornets;82;242.4;37.9;80.7;47;7.1;18.5;38.4;30.8;62.2;49.5;19.9;25.8;77;12.0;27.5;39.5;23.3;7.1;3.4;15.1;22.1;102.8;17;27.8;0.5;0.5;0.475609756;0.524390244;-0.57;0.09;111.2;111.8;91.6;320;230;55.8;51.4;14.1;29.5;246;52.9;13.9;70.3;217;Charlotte Coliseum;985.722;0
18-19;Charlotte Hornets;82;241.8;40.2;89.8;44.8;11.9;33.9;35.1;28.3;55.8;50.7;18.4;23.1;79.7;9.9;33.9;43.8;23.2;7.2;4.9;12.2;18.9;110.7;19;26.6;0.475609756;0.524390244;0.463414634;0.536585366;-1.10;-0.22;111.4;112.5;98.7;257;378;55.4;51.4;10.9;21.7;205;53.8;12.1;77.1;179;Spectrum Center;676.57;0
20-21;Charlotte Hornets;72;241.0;39.9;87.8;45.5;13.7;37.0;36.9;26.3;50.8;51.7;15.9;20.9;76.1;10.6;33.2;43.8;26.8;7.8;4.8;14.8;18.0;109.5;23;24.6;0.458333333;0.541666667;0.444444444;0.555555556;-1.93;-0.01;110.9;112.8;98.3;238;422;56.4;53.2;13.3;23.5;181;55;13.2;75.7;163;Spectrum Center;68.255;0
16-17;Charlotte Hornets;82;241.8;37.7;85.4;44.2;10.0;28.6;35.1;27.7;56.7;48.8;19.4;23.8;81.5;8.8;34.8;43.6;23.1;7.0;4.8;11.5;16.6;104.9;15;26.5;0.43902439;0.56097561;0.512195122;0.487804878;0.20;-0.26;108.8;108.6;95.7;279;335;54.7;50.1;10.7;19.9;227;52.3;12.1;79.6;164;Spectrum Center;710.643;0
17-18;Charlotte Hornets;82;241.2;39.0;86.7;45;10.0;27.2;36.9;28.9;59.4;48.7;20.2;27.0;74.7;10.1;35.4;45.5;21.6;6.8;4.5;12.7;17.2;108.2;17;26.6;0.43902439;0.56097561;0.512195122;0.487804878;0.26;-0.19;109.4;109.1;98.4;312;314;54.9;50.8;11.4;22.2;233;53.2;12.4;80.7;165;Spectrum Center;671.404;0
14-15;Charlotte Hornets;82;242.7;35.5;84.5;42;6.1;19.1;31.8;29.5;65.4;45;17.0;22.8;74.8;10.0;34.1;44.1;20.2;6.1;5.5;11.9;18.2;94.2;23;26.0;0.402439024;0.597560976;0.390243902;0.609756098;-3.17;-0.27;100.1;103.5;93.0;269;226;49.8;45.6;11.2;22.1;202;48.7;12.0;79.3;188;Time Warner Cable Arena;704.886;0
91-92;Charlotte Hornets;82;241.5;44.1;92.3;47.7;1.4;4.5;31.7;42.6;87.8;48.6;20.0;26.4;75.5;14.2;28.9;43.1;27.9;10.0;3.8;15.5;22.2;109.5;20;25.2;0.37804878;0.62195122;0.37804878;0.62195122;-3.90;0.33;107.1;110.9;101.7;286;49;52.7;48.5;13.0;31.1;216;51;14.1;65.4;222;Charlotte Coliseum;971.618;0
19-20;Charlotte Hornets;65;242.3;37.3;85.9;43.4;12.1;34.3;35.2;25.2;51.6;48.9;16.2;21.6;74.8;11.0;31.8;42.8;23.8;6.6;4.1;14.6;18.8;102.9;27;24.3;0.353846154;0.646153846;0.292307692;0.707692308;-6.75;-0.28;106.3;113.3;95.8;252;399;53.9;50.4;13.3;23.9;188;54.6;13.1;74.4;159;Spectrum Center;478.591;0
90-91;Charlotte Hornets;82;241.5;40.1;85.8;46.7;1.6;5.1;31.4;38.5;80.7;47.7;21.0;27.0;77.9;12.5;26.8;39.4;24.6;9.3;3.7;15.7;23.7;102.8;24;25.5;0.317073171;0.682926829;0.329268293;0.670731707;-5.24;0.30;105.0;110.4;97.3;315;59;52.6;47.7;13.9;29.0;245;50.4;15.0;65.7;272;Charlotte Coliseum;978.141;0
88-89;Charlotte Hornets;82;241.2;41.8;90.6;46.1;1.6;5.2;31.2;40.1;85.4;47;19.3;25.1;76.7;13.9;26.8;40.7;28.3;8.6;3.2;16.1;25.2;104.5;23;27.2;0.243902439;0.756097561;0.256097561;0.743902439;-8.52;0.79;103.7;112.1;100.3;277;58;51.4;47;13.7;30.3;213;50.8;14.7;64.9;287;Charlotte Coliseum;949.858;0
89-90;Charlotte Hornets;82;240.9;39.9;87.6;45.5;2.5;7.5;33.6;37.4;80.1;46.6;18.1;24.0;75.6;11.7;27.0;38.7;25.4;9.5;3.2;15.0;23.0;100.4;25;25.6;0.231707317;0.768292683;0.256097561;0.743902439;-7.82;0.81;102.0;109.9;98.1;274;85;51.1;47;13.2;26.1;207;50.6;14.7;67.5;269;Charlotte Coliseum;979.941;0
96-97;Charlotte Hornets*;82;241.5;36.4;77.3;47.1;7.2;16.9;42.8;29.2;60.5;48.3;18.8;24.2;77.7;11.1;28.0;39.1;24.6;7.3;4.3;14.7;20.8;98.9;12;29.1;0.658536585;0.341463415;0.56097561;0.43902439;1.87;0.26;110.9;108.9;88.6;313;218;56.2;51.8;14.3;28.7;243;49.6;13.3;68.1;204;Charlotte Coliseum;985.722;0
